시도,시군구,대지위치,연면적(제곱미터),주용도,착공처리일,준공예정일(사용승인예정일)
서울특별시,강남구,서울특별시 강남구 역삼동 798-16,1887,업무시설,2022-11-14,2024-01-31
서울특별시,강남구,서울특별시 강남구 논현동 62-13 외1필지,10560,제1종근린생활시설,2022-11-09,2025-02-28
서울특별시,강남구,서울특별시 강남구 삼성동 46-33,735,제2종근린생활시설,2022-11-08,2023-12-01
서울특별시,강남구,서울특별시 강남구 대치동 901-30,603,제2종근린생활시설,2022-11-08,2023-10-31
서울특별시,강남구,서울특별시 강남구 신사동 512-6 외1필지,582,제2종근린생활시설,2022-11-08,2023-09-03
서울특별시,강남구,서울특별시 강남구 논현동 182-29,1828,제2종근린생활시설,2022-11-07,2023-11-30
서울특별시,강남구,서울특별시 강남구 삼성동 90-29,198,제2종근린생활시설,2022-11-03,2023-02-28
서울특별시,강남구,서울특별시 강남구 논현동 77-29,775,제2종근린생활시설,2022-11-01,2023-10-06
서울특별시,강남구,서울특별시 강남구 논현동 257-11,758,제2종근린생활시설,2022-11-01,2023-06-17
서울특별시,강남구,서울특별시 강남구 논현동 257-12,1192,제2종근린생활시설,2022-11-01,2023-06-17
서울특별시,강남구,서울특별시 강남구 개포동 1179-5,340,공동주택,2022-11-01,2023-04-30
서울특별시,강남구,서울특별시 강남구 삼성동 143-31,1996,업무시설,2022-11-01,2023-11-30
서울특별시,강남구,서울특별시 강남구 대치동 900-64,467,제2종근린생활시설,2022-10-31,2023-06-30
서울특별시,강남구,서울특별시 강남구 논현동 253-17,1362,제2종근린생활시설,2022-10-25,2023-09-30
서울특별시,강남구,서울특별시 강남구 삼성동 121-27,679,제2종근린생활시설,2022-10-25,2023-10-24
서울특별시,강남구,서울특별시 강남구 역삼동 782 외4필지,9046,공동주택,2022-10-25,2024-11-06
서울특별시,강남구,서울특별시 강남구 대치동 899-9,499,제2종근린생활시설,2022-10-24,2023-04-28
서울특별시,강남구,서울특별시 강남구 역삼동 721-28,433,제2종근린생활시설,2022-10-21,2023-10-24
서울특별시,강남구,서울특별시 강남구 삼성동 9-19,869,제2종근린생활시설,2022-10-21,2023-11-30
서울특별시,강남구,서울특별시 강남구 대치동 898-5,991,제2종근린생활시설,2022-10-20,2023-09-15
