연번,건축구분,대지위치,대지면적(m^2),건축면적(m^2),연면적(m^2),증축연면적(m^2),허가일,착공일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,총주차대수,세대수,호수,가구수,설계자 전화번호,설계사무소,감리자 전화번호,감리사무소명
1,신축,서울특별시 강북구 수유동 486-248 외4필지,564.44,272.53,"1,235.41",,2021-12-13,2022-01-17,6,1,공동주택,단지형연립주택,제2종일반주거지역,고도지구,,13,13,,,02-725-3491,(주)이필생활건축사사무소,02-454-3200,건축사사무소 우신
2,신축,서울특별시 강북구 수유동 296-23 외6필지,906,538.24,"1,676.25",,2021-11-25,2022-01-10,5,0,공동주택,다세대주택,도시지역,,,23,27,,,02-6959-4783,건축사사무소 아성,029073399,아이엔케이 건축사사무소
3,신축,서울특별시 강북구 수유동 252-65 외1필지,396,236.966,726.7732,,2021-11-10,2022-01-27,5,0,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,8,10,,,02-558-3913,(주)에스앤에스건축사사무소,02-744-1281,건축사사무소 도시건축집단
4,신축,서울특별시 강북구 수유동 39-31 외1필지,320.6,159.44,725.08,,2021-10-15,2022-01-11,6,0,공동주택,(도시형생활주택),제3종일반주거지역,,,8,10,1,,02-995-8711,(주)단십자건축사사무소,02-6370-1500,(주)한림건축씨엠종합건축사사무소
5,신축,서울특별시 강북구 번동 446-70 외1필지,561.7,336.92,"3,498.29",,2021-10-13,2022-01-11,15,2,공동주택,(도시형생활주택-원룸형),일반상업지역,,지구단위계획구역,54,77,14,,02-995-8711,(주)단십자건축사사무소,02-6370-1500,(주)한림건축씨엠종합건축사사무소
6,신축,서울특별시 강북구 미아동 793-38 외2필지,231.5,115.7,569.77,,2021-08-05,2022-01-11,7,1,공동주택,다세대주택,도시지역,대공방어협조구역,,8,8,,,029043604,선율건축사사무소,024150303,에스와이종합건축사사무소(주)
7,신축,서울특별시 강북구 수유동 433-12,352.69,211.16,595.12,,2021-07-22,2022-01-12,4,0,제1종근린생활시설,"주민공동이용시설, 마을회관",제2종일반주거지역,,,3,,,,02-6398-4738,라인그룹건축사사무소,02-6398-4738,라인그룹건축사사무소
8,신축,서울특별시 강북구 미아동 791-2965 외2필지,291.65,174.19,649.96,,2021-07-21,2022-01-07,5,0,공동주택,다세대주택-도시형생활주택(원룸형),도시지역,고도지구,,7,19,,,031-8013-0343,그리드에이(Grid-A)건축사사무소,031-8013-0343,그리드에이(Grid-A)건축사사무소
9,신축,서울특별시 강북구 수유동 87-6 외1필지,230,137.61,1110.69,,2022-01-06,2022-02-22,10,1,공동주택,"다세대주택,제2종근린생활시설,오피스텔",일반상업지역,,,13,8,7,,02-488-2800,다와건축사사무소,02-475-7777,(주)다솔건축사사무소
10,신축,서울특별시 강북구 미아동 165-47 외1필지,197.9,98.86,341.98,,2021-10-27,2022-02-16,5,0,공동주택,도시형생활주택(단지형다세대),제3종일반주거지역,,,5,6,1,,02-995-8711,(주)단십자건축사사무소,02-511-6380,(주)담연이엔씨건축사사무소
