연번,자치구명,규모,민간공사장명,위치,연면적,착공예정일,데이터기준일자
1,서울특별시 강서구,대형,마곡동 특별계획구역 업무용지 CP4 업무시설 신축공사,서울특별시 강서구 마곡동 769,462889.37,2021-08-24,2022-11-28
2,서울특별시 강서구,대형,마곡 MiCE 복합단지 개발사업(CP1),"서울특별시 강서구 마곡동 767, 767-1",326061.33,2021-05-31,2022-11-28
3,서울특별시 강서구,대형,마곡 MiCE 복합단지 개발사업(CP2),서울특별시 강서구 마곡동 767-4,199366.86,2021-05-31,2022-11-28
4,서울특별시 강서구,대형,마곡 MiCE 복합단지 개발사업(CP3-2),서울특별시 강서구 마곡동 768-1,159287.58,2021-05-28,2022-11-28
5,서울특별시 강서구,대형,마곡R&D센터 신축공사,서울특별시 강서구 마곡동 783,72320.00,2021-10-15,2022-11-28
6,서울특별시 강서구,대형,마곡 D38BL 지식산업센터 신축공사,서울특별시 강서구 마곡동 779,37693.17,2022-04-11,2022-11-28
7,서울특별시 강서구,대형,가양역 더리브 아너비즈타워 지식산업센터 신축공사,서울특별시 강서구 등촌동 629-1,32375.42,2021-01-29,2022-11-28
8,서울특별시 강서구,대형,마곡동 9 지식산업센터 신축공사,서울특별시 강서구 마곡동 9,30711.73,2021-07-01,2022-11-28
9,서울특별시 강서구,대형,마스터밸류에이스지식산업센터 신축공사,서울특별시 강서구 가양동 449-12,30577.19,2021-07-01,2022-11-28
10,서울특별시 강서구,대형,S-OIL 마곡 D16-3블럭 Lab&Office Bldg. 신축공사,서울특별시 강서구 마곡동 780-2,27004.39,2022-02-01,2022-11-28
11,서울특별시 강서구,대형,화곡동 오피스텔 신축공사,서울특별시 강서구 화곡동 1064,24461.16,2021-09-01,2022-11-28
12,서울특별시 강서구,대형,크리스탈지노믹스 마곡R&D센터 신축공사 (D29-1),서울특별시 강서구 마곡동 772-1,24460.33,2020-11-10,2022-11-28
13,서울특별시 강서구,대형,오스탬글로벌 마곡연구소 신축공사,서울특별시 강서구 마곡동 762,20723.59,2022-01-10,2022-11-28
14,서울특별시 강서구,대형,마곡 일반산업단지 D40-2 연구시설 신축공사,서울특별시 강서구 마곡동 805-1,13084.31,2022-09-06,2022-11-28
15,서울특별시 강서구,대형,화곡동 987-6번지 오피스텔 신축공사,서울특별시 강서구 화곡동 987-6 외4필지,12996.30,2022-05-20,2022-11-28
16,서울특별시 강서구,중형,강서 크라운타워팰리스 신축공사,서울특별시 강서구 공항동 72-20,9543.19,2021-10-10,2022-11-28
17,서울특별시 강서구,중형,내발산동 647 공동주택 신축공사,서울특별시 강서구 내발산동 647,9345.07,2022-02-15,2022-11-28
18,서울특별시 강서구,중형,케이시㈜ 마곡 R&D센터 신축공사,서울특별시 강서구 마곡동 781-1,8440.88,2021-04-01,2022-11-28
19,서울특별시 강서구,중형,화곡동 886-8 주거복합 신축공사,서울특별시 강서구 화곡동 886-8,8246.70,2021-10-01,2022-11-28
20,서울특별시 강서구,중형,마곡 지엔씨에너지 신축공사 (D32-8),서울특별시 강서구 마곡동 800-19,8086.01,2020-07-20,2022-11-28
21,서울특별시 강서구,중형,염창동 260외 1필지 브루클린하이츠 신축공사,서울특별시 강서구 염창동 260 외1필지,7695.85,2020-07-15,2022-11-28
22,서울특별시 강서구,중형,풍원화학 마곡연구소 신축공사 (D10-11),서울특별시 강서구 마곡동 763-18,6581.61,2021-08-01,2022-11-28
23,서울특별시 강서구,중형,㈜호디 마곡사옥신축공사 (D32-11),서울특별시 강서구 마곡동 800-16,6470.47,2021-05-24,2022-11-28
24,서울특별시 강서구,중형,태양3c 마곡사옥 신축공사 (D10-9),서울특별시 강서구 마곡동 763-16,5997.84,2021-06-25,2022-11-28
25,서울특별시 강서구,중형,한국카본 마곡R&D센터 신축공사,서울특별시 강서구 마곡동 781-5,5960.36,2021-04-19,2022-11-28
26,서울특별시 강서구,중형,마곡동 D33-5교육연구시설 신축공사 (D33-5),서울특별시 강서구 마곡동 801-12,5900.05,2021-07-02,2022-11-28
27,서울특별시 강서구,중형,㈜아이더스코리아 사옥 신축공사,서울특별시 강서구 등촌동 678-8,5602.03,2021-11-15,2022-11-28
28,서울특별시 강서구,중형,내발산동 680-12 근린생활시설 신축공사,서울특별시 강서구 내발산동 680-12,5285.80,2022-02-07,2022-11-28
29,서울특별시 강서구,중형,에코 Simplex센터 신축공사 (D10-1),서울특별시 강서구 마곡동 763-4,4934.87,2021-12-01,2022-11-28
30,서울특별시 강서구,중형,더채움오피스텔 신축공사,서울특별시 강서구 염창동 262-5,2969.14,2022-01-10,2022-11-28
31,서울특별시 강서구,중형,"화곡동 888-9 공동주택, 오피스텔, 근생 신축공사",서울특별시 강서구 화곡동 888-9,2466.82,2022-03-20,2022-11-28
32,서울특별시 강서구,중형,근생 및 오피스텔 신축공사,서울특별시 강서구 화곡동 1032-17,2238.61,2022-05-12,2022-11-28
33,서울특별시 강서구,중형,염창동 98번지 오피스텔 및 다세대주택 신축공사,서울특별시 강서구 염창동 98,2047.33,2021-01-15,2022-11-28
34,서울특별시 강서구,중형,경동 헬리그라프 신축공사,서울특별시 강서구 공항동 8-5,5894.65,2022-05-23,2022-11-28
35,서울특별시 강서구,중형,화곡동 24-81번지 신축공사,서울특별시 강서구 화곡동 24-81,2736.37,2022-05-31,2022-11-28
36,서울특별시 강서구,중형,화곡동 921-15 신축공사,서울특별시 강서구 화곡동 921-15,2075.16,2022-07-10,2022-11-28
37,서울특별시 강서구,중형,㈜이하 R&D 센터 신축공사,서울특별시 강서구 마곡동 804,9360.14,2022-05-27,2022-11-28
38,서울특별시 강서구,중형,화곡동 938-11 업무시설 신축공사,서울특별시 강서구 화곡동 938-11,2974.43,2022-05-02,2022-11-28
39,서울특별시 강서구,중형,염창동 263-5 도시형생활주택 및 오피스텔 신축공사,서울특별시 강서구 염창동 263-5,2955.13,2022-08-01,2022-11-28
40,서울특별시 강서구,중형,"등촌동 648-10 오피스텔, 도시형생활주택 신축공사",서울특별시 강서구 등촌동 648-10,3087.38,2020-12-23,2022-11-28
41,서울특별시 강서구,중형,등촌동 639-6 오피스텔 다세대 신축공사,서울특별시 강서구 등촌동 639-6,2734.62,2021-11-23,2022-11-28
42,서울특별시 강서구,중형,강서구 내발산동 사회주택 신축공사,"서울특별시 강서구 내발산동 701-7,8번지",2426.19,2021-03-23,2022-11-28
43,서울특별시 강서구,소형,오피스텔 신축공사,서울특별시 강서구 화곡동 901-26,233.59,2021-03-05,2022-11-28
44,서울특별시 강서구,소형,염창동 루나클래식 신축공사,서울특별시 강서구 염창동 283-15 외1필지,1978.00,2022-04-25,2022-11-28
45,서울특별시 강서구,소형,스카이로드 사옥 신축공사,서울특별시 강서구 방화동 294-10 외1필지,1683.29,2021-08-30,2022-11-28
46,서울특별시 강서구,소형,근생 및 오피스텔 신축공사,서울특별시 강서구 등촌동 658,1624.99,2021-04-30,2022-11-28
47,서울특별시 강서구,소형,화곡동 981-10 신축공사,서울특별시 강서구 화곡동 981-10,1336.13,2022-02-03,2022-11-28
48,서울특별시 강서구,소형,도시형생활주택 신축공사,서울특별시 강서구 화곡동 424-28 외1필지,651.28,2022-04-04,2022-11-28
49,서울특별시 강서구,소형,디딤빌리지 신축공사,서울특별시 강서구 화곡동 376-41 외1필지,597.82,2022-02-08,2022-11-28
50,서울특별시 강서구,소형,도시형생활주택 신축공사,서울특별시 강서구 방화동 272-10,597.82,2022-05-06,2022-11-28
51,서울특별시 강서구,소형,공동주택 신축공사,서울특별시 강서구 화곡동 352-21,585.99,2022-03-23,2022-11-28
52,서울특별시 강서구,소형,공동주택(다세대) 신축공사,서울특별시 강서구 화곡동 359-5,524.74,2022-03-22,2022-11-28
53,서울특별시 강서구,소형,다세대주택 신축공사,서울특별시 강서구 화곡동 408-13,521.72,2022-03-25,2022-11-28
54,서울특별시 강서구,소형,다가구주택 신축공사,서울특별시 강서구 공항동 665-15,303.54,2022-03-10,2022-11-28
55,서울특별시 강서구,소형,도시형생활주택 및 근생 신축공사,서울특별시 강서구 방화동 249-254 외1필지,1555.06,2022-04-22,2022-11-28
56,서울특별시 강서구,소형,주거복합건축물 신축공사,서울특별시 강서구 화곡동 922-15,1164.32,2022-02-01,2022-11-28
57,서울특별시 강서구,소형,도시형생활주택 신축공사,서울특별시 강서구 화곡동 403-13,436.46,2022-07-04,2022-11-28
58,서울특별시 강서구,소형,화곡동 다세대주택 신축공사,서울특별시 강서구 화곡동 1100-4,799.63,2022-07-01,2022-11-28
59,서울특별시 강서구,소형,개화동 559-63 단독주택 신축공사,서울특별시 강서구 개화동 559-63,139.42,2022-06-24,2022-11-28
60,서울특별시 강서구,소형,"화곡동 829-9, 10, 11 도시형생활주택신축공사",서울특별시 강서구 화곡동 829-9,1040.23,2022-07-01,2022-11-28
61,서울특별시 강서구,소형,화곡동 480-13외 1필지 도시형생활주택 및 단지형다세대 신축공사,서울특별시 강서구 화곡동 480-13,648.32,2022-06-25,2022-11-28
62,서울특별시 강서구,소형,화곡동 감리교회 생성전건축공사,서울특별시 강서구 화곡동 105-204,778.04,2022-06-27,2022-11-28
63,서울특별시 강서구,소형,공항동다가구주택신축공사,서울특별시 강서구 공항동 301-46,258.12,2022-06-07,2022-11-28
64,서울특별시 강서구,소형,화곡동 994-1 다가구주택 신축공사,서울특별시 강서구 화곡동 994-1,211.61,2022-06-10,2022-11-28
65,서울특별시 강서구,소형,화곡동 1015-21 근생 및 도시형생활주택 신축공사,서울특별시 강서구 화곡동 1015-21,453.83,2022-06-27,2022-11-28
66,서울특별시 강서구,소형,화곡동 공동주택 신축공사,서울특별시 강서구 화곡동 1046-29 외1필지,524.80,2022-06-16,2022-11-28
67,서울특별시 강서구,소형,"화곡6동 975-16, 17 공동주택 신축공사",서울특별시 강서구 화곡동 975-16 외1필지,496.54,2022-06-30,2022-11-28
68,서울특별시 강서구,소형,방화동 다중주택 신축공사,서울특별시 강서구 방화동 246-32,276.14,2022-06-20,2022-11-28
69,서울특별시 강서구,소형,다가구주택 신축공사,서울특별시 강서구 화곡동 1099-19,372.24,2022-06-30,2022-11-28
70,서울특별시 강서구,소형,화곡동 다세대주택 신축공사,서울특별시 강서구 화곡동 346-6 외1필지,659.93,2022-06-15,2022-11-28
71,서울특별시 강서구,소형,화곡동 근생 신축공사,서울특별시 강서구 화곡동 421-19,318.44,2022-05-18,2022-11-28
72,서울특별시 강서구,소형,화곡동 다세대 신축공사,서울특별시 강서구 화곡동 1086-24 외1필지,554.01,2022-06-24,2022-11-28
73,서울특별시 강서구,소형,화곡동 864-8 신축공사,서울특별시 강서구 화곡동 864-8,281.53,2022-06-29,2022-11-28
74,서울특별시 강서구,소형,화곡동 95-47 도시형 생활주택 신축공사,서울특별시 강서구 화곡동 95-47 외1필지,656.90,2022-05-31,2022-11-28
75,서울특별시 강서구,소형,내발산동 718-9 신축공사,서울특별시 강서구 내발산동 718-9,429.60,2022-05-17,2022-11-28
76,서울특별시 강서구,소형,공항동 40-30 신축공사,서울특별시 강서구 공항동 40-30,245.95,2022-06-08,2022-11-28
77,서울특별시 강서구,소형,화곡동 359-20 신축공사,서울특별시 강서구 화곡동 359-20 외1필지,429.60,2022-05-27,2022-11-28
78,서울특별시 강서구,소형,"공항동 근생, 다세대주택 신축공사",서울특별시 강서구 공항동 53-108,953.37,2022-07-05,2022-11-28
79,서울특별시 강서구,소형,방화동 260-12 다세대 신축공사,서울특별시 강서구 방화동 260-12,395.33,2022-06-02,2022-11-28
80,서울특별시 강서구,소형,화곡동 982-11 업무시설 신축공사,서울특별시 강서구 화곡동 982-11 외1필지,1968.56,2022-07-22,2022-11-28
81,서울특별시 강서구,소형,화곡동 1048-26 신축공사,서울특별시 강서구 화곡동 1048-26,199.50,2022-05-06,2022-11-28
82,서울특별시 강서구,소형,화곡2동 457-20 신축공사,서울특별시 강서구 화곡동 457-20,466.73,2022-05-26,2022-11-28
