연번,건축구분,대지위치,연면적,허가일,착공처리일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일
1,신축,서울특별시 관악구 봉천동 459-24 외1필지,380.05,2022-10-21,2022-11-18,5,0,단독주택,다중주택및근생,2022-11-22
2,신축,서울특별시 관악구 신림동 610-185 외1필지,659.73,2022-10-06,2022-10-21,5,0,공동주택,도시형생활주택(소형주택),2022-11-22
3,신축,서울특별시 관악구 봉천동 649-7 외1필지,659.19,2022-09-15,2022-11-02,6,2,공동주택,도시형생활주택(단지형다세대주택),2022-11-22
4,신축,서울특별시 관악구 봉천동 1645-43 외1필지,382.26,2022-09-07,2022-10-07,4,0,단독주택,다중주택 및 2종근린생활시설,2022-11-22
5,신축,서울특별시 관악구 신림동 610-190 외1필지,659.9,2022-09-02,2022-11-03,5,0,공동주택,도시형생활주택(소형17세대),2022-11-22
6,신축,서울특별시 관악구 신림동 610-186,659.93,2022-09-02,2022-11-03,6,0,공동주택,도시형생활주택(단지형다세대11세대),2022-11-22
7,신축,서울특별시 관악구 신림동 87-21 외1필지,557.24,2022-09-02,2022-11-16,4,1,단독주택,제2종근린생활시설 및 단독[다중]주택,2022-11-22
8,신축,서울특별시 관악구 신림동 610-368 외1필지,456.92,2022-08-25,2022-11-03,5,0,공동주택,도시형생활주택(단지형다세대주택),2022-11-22
9,신축,서울특별시 관악구 봉천동 1624-22,397.38,2022-08-23,2022-09-27,4,1,단독주택,다중주택외1,2022-11-22
10,신축,서울특별시 관악구 신림동 539-19,270.06,2022-08-23,2022-10-12,4,0,단독주택,다가구주택(제2종근린생활시설),2022-11-22
11,신축,서울특별시 관악구 신림동 750-24,389.82,2022-08-19,2022-09-08,6,0,공동주택,도시형생활주택-단지형다세대주택,2022-11-22
12,신축,서울특별시 관악구 신림동 598-178 외1필지,806.13,2022-08-08,2022-11-03,6,1,공동주택,단지형다새대주택,2022-11-22
13,신축,서울특별시 관악구 봉천동 41-185 외1필지,764.22,2022-08-08,2022-11-17,6,1,제2종근린생활시설,및 다중주택,2022-11-22
14,신축,서울특별시 관악구 봉천동 635-441,252.86,2022-08-08,2022-09-05,5,0,공동주택,도시형생활주택-단지형다세대,2022-11-22
15,신축,서울특별시 관악구 신림동 1666-34 외1필지,471.64,2022-08-05,2022-10-17,5,0,단독주택,근린생활시설 및 다중주택,2022-11-22
16,신축,서울특별시 관악구 신림동 629-22 외1필지,585.73,2022-07-29,2022-09-22,6,0,공동주택,도시형생활주택(단지형다세대주택),2022-11-22
17,신축,서울특별시 관악구 신림동 250-19 외1필지,657.97,2022-07-28,2022-09-27,5,0,단독주택,근생및다중주택,2022-11-22
18,신축,서울특별시 관악구 신림동 537-14,551.13,2022-07-27,2022-09-19,5,0,공동주택,다세대주택-도시형생활주택-소형주택,2022-11-22
19,신축,서울특별시 관악구 신림동 1556-48,493.48,2022-07-21,2022-11-04,5,0,단독주택,다중주택및근생,2022-11-22
20,신축,서울특별시 관악구 봉천동 918-20,660.37,2022-07-12,2022-11-11,9,2,제2종근린생활시설,근생및다중주택,2022-11-22
21,신축,서울특별시 관악구 신림동 1639-35,762.05,2022-07-11,2022-11-10,11,1,업무시설,"근생,생활형숙박,오피스텔",2022-11-22
22,신축,서울특별시 관악구 봉천동 866-3,"1,531.95",2022-07-07,2022-10-13,14,1,업무시설,오피스텔-주거용,2022-11-22
23,신축,서울특별시 관악구 신림동 1644-1,"1,282.55",2022-07-01,2022-10-17,6,1,제2종근린생활시설,,2022-11-22
24,신축,서울특별시 관악구 봉천동 1639-17,788.33,2022-06-30,2022-08-03,5,1,제2종근린생활시설,근생및다중주택,2022-11-22
25,신축,서울특별시 관악구 신림동 489-17,491.17,2022-06-30,2022-11-15,5,0,공동주택,다세대주택-도시형생활주택(소형주택),2022-11-22
26,신축,서울특별시 관악구 신림동 626-66,447.31,2022-06-29,2022-10-01,5,1,공동주택,도시형생활주택 단지형다세대,2022-11-22
27,신축,서울특별시 관악구 신림동 1649-11 외1필지,659.7,2022-06-29,2022-09-16,6,1,공동주택,다세대주택-도시형생활주택(단지형다세대주택),2022-11-22
28,신축,서울특별시 관악구 봉천동 661-25,426.49,2022-06-28,2022-10-19,6,1,공동주택,도시형생활주택(다세대),2022-11-22
29,신축,서울특별시 관악구 남현동 1085-16,280.57,2022-06-28,2022-09-27,4,1,단독주택,제2종근린생활시설 및 다중주택 (11),2022-11-22
30,신축,서울특별시 관악구 봉천동 218-5,526.5,2022-06-27,2022-08-29,5,1,제2종근린생활시설,및 단독주택(다중주택),2022-11-22
31,신축,서울특별시 관악구 신림동 90-139,397.01,2022-06-27,2022-10-13,4,1,단독주택,근생및다중주택,2022-11-22
32,신축,서울특별시 관악구 봉천동 223-5,213.54,2022-06-23,2022-11-11,4,1,단독주택,근생 및 단독(다중),2022-11-22
33,신축,서울특별시 관악구 봉천동 1684-20,367.28,2022-06-20,2022-10-27,4,1,단독주택,다중주택 및 근린생활시설(사무소),2022-11-22
34,신축,서울특별시 관악구 신림동 1433-29 외2필지,"1,997.62",2022-06-20,2022-10-27,11,2,공동주택,아파트 및 근린생활시설,2022-11-22
35,신축,서울특별시 관악구 신림동 1650-2,299.32,2022-06-17,2022-09-27,3,1,단독주택,다중주택12가구,2022-11-22
36,신축,서울특별시 관악구 신림동 509-18,386.9,2022-06-17,2022-07-06,6,0,공동주택,(도시형생활주택 단지형다세대),2022-11-22
37,신축,서울특별시 관악구 신림동 1609-11,524.03,2022-06-10,2022-10-14,4,1,단독주택,다중주택 및 근린생활시설(사무소),2022-11-22
38,신축,서울특별시 관악구 봉천동 891-29,166.85,2022-06-08,2022-06-20,4,0,제2종근린생활시설,및 단독주택,2022-11-22
39,신축,서울특별시 관악구 신림동 535-4,267.46,2022-06-08,2022-08-02,5,0,단독주택,다중주택,2022-11-22
40,신축,서울특별시 관악구 신림동 92-327,298.98,2022-05-27,2022-10-31,3,1,단독주택,다중주택,2022-11-22
41,신축,서울특별시 관악구 신림동 585-71,318.99,2022-05-26,2022-06-16,4,0,단독주택,,2022-11-22
42,신축,서울특별시 관악구 신림동 511-21,357.43,2022-05-25,2022-10-07,4,1,단독주택,다중주택외1,2022-11-22
43,신축,서울특별시 관악구 신림동 511-20,363.36,2022-05-25,2022-10-07,4,1,단독주택,다중주택외1,2022-11-22
44,신축,서울특별시 관악구 봉천동 100-87,325.87,2022-05-23,2022-09-19,4,1,단독주택,다중주택(11) 및 제2종 근생,2022-11-22
45,신축,서울특별시 관악구 신림동 98-389,203.72,2022-05-20,2022-08-08,4,0,단독주택,다가구주택,2022-11-22
46,신축,서울특별시 관악구 신림동 507-17,303.44,2022-05-19,2022-08-04,3,1,단독주택,다중주택,2022-11-22
47,신축,서울특별시 관악구 신림동 10-140,296.46,2022-05-19,2022-09-22,3,1,제2종근린생활시설,다중주택,2022-11-22
48,신축,서울특별시 관악구 신림동 469-8,331.48,2022-05-18,2022-08-18,5,1,단독주택,다중주택및근생,2022-11-22
49,신축,서울특별시 관악구 신림동 251-119,420.05,2022-05-16,2022-11-15,4,1,단독주택,(다중주택)및 근린생활시설,2022-11-22
50,신축,서울특별시 관악구 봉천동 635-385 외1필지,464.4,2022-05-13,2022-07-13,5,0,공동주택,다세대주택,2022-11-22
51,신축,서울특별시 관악구 봉천동 971-15,199.49,2022-05-11,2022-07-08,3,0,제2종근린생활시설,사무소,2022-11-22
52,신축,서울특별시 관악구 신림동 477-16,206.28,2022-05-11,2022-08-29,3,0,제2종근린생활시설,근린생활시설및다중주택,2022-11-22
53,신축,서울특별시 관악구 봉천동 886-38 외1필지,654.82,2022-05-10,2022-07-01,6,1,공동주택,도시형생활주택,2022-11-22
54,신축,서울특별시 관악구 봉천동 1620-36 외2필지,684.81,2022-05-09,2022-06-28,5,0,공동주택,근생 및 다세대주택,2022-11-22
55,신축,서울특별시 관악구 신림동 631-12,226.08,2022-05-06,2022-09-26,5,0,단독주택,근린생활시설및다중주택,2022-11-22
56,신축,서울특별시 관악구 봉천동 1534-24,307.29,2022-05-04,2022-11-17,4,1,단독주택,제2종근린생활시설 및 다중주택 (12),2022-11-22
57,신축,서울특별시 관악구 신림동 1657-45 외1필지,934.38,2022-05-04,2022-06-03,6,1,공동주택,도시형생활주택 단지형다세대,2022-11-22
58,신축,서울특별시 관악구 신림동 611-83 외1필지,796.41,2022-05-02,2022-11-14,5,1,공동주택,다세대주택(도시형생활주택),2022-11-22
59,신축,서울특별시 관악구 신림동 621-34 외2필지,"1,198.85",2022-04-27,2022-05-31,6,0,공동주택,도시형생활주택(단지형다세대),2022-11-22
60,신축,서울특별시 관악구 신림동 535-5,413.73,2022-04-25,2022-06-15,5,0,단독주택,근린생활시설및다중주택,2022-11-22
61,신축,서울특별시 관악구 봉천동 1646-8,310.99,2022-04-22,2022-08-02,4,1,단독주택,다중주택/근린생활시설,2022-11-22
62,신축,서울특별시 관악구 봉천동 685-23,538.86,2022-04-21,2022-11-18,5,1,단독주택,근린생활시설및다중주택,2022-11-22
63,신축,서울특별시 관악구 봉천동 1624-23,392.31,2022-04-19,2022-06-17,4,0,단독주택,다중주택,2022-11-22
64,신축,서울특별시 관악구 신림동 482-28,422.37,2022-04-19,2022-08-24,4,1,제2종근린생활시설,다중주택,2022-11-22
65,신축,서울특별시 관악구 신림동 621-42 외1필지,"1,153.28",2022-04-19,2022-05-31,6,0,공동주택,도시형생활주택(단지형다세대),2022-11-22
66,신축,서울특별시 관악구 신림동 1581-52 외1필지,531.81,2022-04-15,2022-09-15,5,1,단독주택,다중주택 및 사무소,2022-11-22
67,신축,서울특별시 관악구 봉천동 702-103,536.54,2022-04-15,2022-08-24,6,1,제2종근린생활시설,"사무소, 다가구주택",2022-11-22
68,신축,서울특별시 관악구 신림동 646-272,296.05,2022-04-14,2022-08-16,4,1,단독주택,다가구주택(5가구),2022-11-22
69,신축,서울특별시 관악구 신림동 92-237,402.05,2022-04-14,2022-07-05,3,2,단독주택,다중주택,2022-11-22
70,신축,서울특별시 관악구 봉천동 635-352,851.62,2022-04-14,2022-07-11,4,1,공동주택,도시형생활주택(소형주택)-20세대,2022-11-22
71,신축,서울특별시 관악구 봉천동 647-130,423.78,2022-04-13,2022-09-16,4,1,단독주택,다중주택 및 근린생활시설(사무소),2022-11-22
72,신축,서울특별시 관악구 신림동 244-193,506.13,2022-04-08,2022-06-22,4,1,단독주택,다중주택 및 사무소,2022-11-22
73,신축,서울특별시 관악구 봉천동 63-78 외1필지,337.35,2022-04-07,2022-06-27,5,0,단독주택,다중주택 및 2종근린생활시설,2022-11-22
74,신축,서울특별시 관악구 남현동 1054-30,485.25,2022-04-01,2022-09-01,4,1,단독주택,다중주택 및 근린생활시설(소매점),2022-11-22
75,신축,서울특별시 관악구 신림동 484-21,285.48,2022-03-30,2022-06-28,3,1,단독주택,다중주택,2022-11-22
76,신축,서울특별시 관악구 신림동 1419-29,621.68,2022-03-28,2022-07-08,8,1,제2종근린생활시설,근린생활시설및단독주택(다중주택),2022-11-22
77,신축,서울특별시 관악구 신림동 631-31 외1필지,597.61,2022-03-28,2022-05-11,6,0,공동주택,도시형생활주택,2022-11-22
78,신축,서울특별시 관악구 신림동 1657-11,238.8,2022-03-22,2022-10-25,4,0,공동주택,공동주택-다세대주택,2022-11-22
79,신축,서울특별시 관악구 봉천동 712-25 외1필지,864.97,2022-03-18,2022-10-04,5,1,단독주택,근린생활시설및다중주택,2022-11-22
80,신축,서울특별시 관악구 신림동 98-382,197.67,2022-03-16,2022-05-12,4,0,단독주택,,2022-11-22
81,신축,서울특별시 관악구 신림동 1432-23,"2,696.77",2022-03-14,2022-08-03,13,2,업무시설,오피스텔,2022-11-22
82,신축,서울특별시 관악구 신림동 441-131,299.75,2022-03-14,2022-08-24,3,1,단독주택,다중주택,2022-11-22
