건축구분,대지위치,지목,대지면적,건축면적,연면적,건폐율,용적률,구조,허가일,착공처리일,최대지상층수,최대지하층수,최고높이,동수,주용도,설계사무소명,감리사무소명,시공자사무소명
신축,서울특별시 구로구 구로동 31-18 외1필지,대,328 ,177 ,656 ,54 ,200 ,철근콘크리트구조,2022-06-28,2022-07-06,5,0,14.6,1,공동주택,(주)아키죤종합건축사사무소,(주)아키죤 종합건축사사무소,호거종합건설(주)
신축,서울특별시 구로구 개봉동 141-59,대,155 ,90 ,239 ,58 ,154 ,철근콘크리트구조,2022-05-24,2022-07-25,4,0,12.75,0,공동주택,(주)그리심디자인그룹건축사사무소,건축사사무소 인우,가호산업개발(주)
신축,서울특별시 구로구 오류동 205-3,대,638 ,364 ,816 ,57 ,128 ,철근콘크리트구조,2022-04-26,2022-07-18,4,0,16.76,1,단독주택,제이엠에이 건축사사무소,카도(KADO)건축사사무소,(주)서울탑건설
신축,서울특별시 구로구 구로동 636-89,대,16027 ,7538 ,132604 ,47 ,480 ,철근콘크리트구조,2022-04-26,2022-07-25,18,5,77.3,1,공장,(주)종합건축사사무소 디자인캠프문박디엠피,(주)정림건축종합건축사사무소,(주)태영건설
신축,서울특별시 구로구 개봉동 33-10 외1필지,대,372 ,185 ,568 ,50 ,153 ,철근콘크리트구조,2022-04-18,2022-07-25,5,0,16.1,1,공동주택,(주)현선건축사사무소,건축사사무소 폴리건,예담산업개발(주)
신축,서울특별시 구로구 가리봉동 135-51 외3필지,대,526 ,243 ,1661 ,46 ,299 ,철근콘크리트구조,2022-03-31,2022-07-22,10,1,30.4,1,업무시설,종합건축사사무소대한.가예,건축사사무소 그린건축,(주)비와이종합건설
신축,서울특별시 구로구 구로동 474-21 외1필지,대,916 ,541 ,3522 ,59 ,355 ,철근콘크리트구조,2022-02-11,2022-07-15,10,1,29.82,2,업무시설,(주)서연건축사사무소,(주)서연건축사사무소,세종주택건설
신축,서울특별시 구로구 고척동 57-174,대,166 ,93 ,332 ,56 ,200 ,철근콘크리트구조,2021-12-15,2022-07-26,5,0,17.7,1,단독주택,천지건축사사무소,(주)건축사사무소위즈,(주)진명건설
신축,서울특별시 구로구 가리봉동 89-161 외2필지,대,613 ,348 ,1675 ,57 ,200 ,철근콘크리트구조,2021-10-08,2022-07-22,5,1,22.55,1,제2종근린생활시설,유홍건축사사무소,유홍건축사사무소,(주)라스코종합건설
신축,서울특별시 구로구 개봉동 63-46,대,222 ,128 ,480 ,58 ,171 ,철근콘크리트구조,2021-10-06,2022-07-21,5,1,17.1,1,공동주택,(주)씨에스글로벌디자인건축사사무소,(주)건축사사무소 한터,더미래종합건설(주)
신축,서울특별시 구로구 개봉동 370-34,대,153 ,92 ,227 ,60 ,148 ,철근콘크리트구조,2021-09-03,2022-07-07,4,0,11.7,1,공동주택,주식회사 인오건축사사무소,(주)인오건축사사무소,종합건설리하(주)
신축,서울특별시 구로구 구로동 546-17 외1필지,대,385 ,191 ,660 ,50 ,171 ,철근콘크리트구조,2021-06-23,2022-07-12,5,0,17.25,1,공동주택,이로건축사사무소,모프 건축사사무소,(주)아이티엠이앤씨
신축,서울특별시 구로구 개봉동 179-11 외3필지,대,1938 ,1025 ,14125 ,53 ,500 ,철근콘크리트구조,2020-11-05,2022-07-22,20,3,62.1,1,공동주택,(주)A&G건축사사무소,(주)청남건축사사무소,(주)우방
대수선,서울특별시 구로구 고척동 325,대,5314 ,171 ,840 ,3 ,10 ,철근콘크리트구조,2022-07-14,2022-07-20,3,1,11.2,1,제2종근린생활시설,(주)명진플러스건축사사무소,(주)명진플러스건축사사무소,(주)덕우종합건설
대수선,서울특별시 구로구 구로동 197-39,공장용지,628 ,348 ,1664 ,55 ,207 ,철근콘크리트구조,2022-06-08,2022-07-27,5,1,20.3,1,공장,주식회사 요앞건축사사무소,주식회사 요앞건축사사무소,(주)대주강업
대수선,서울특별시 구로구 신도림동 432-30 외20필지,대,3032 ,1810 ,34943 ,60 ,585 ,철골철근콘크리트구조,2022-05-03,2022-07-21,14,7,70.1,1,숙박시설,(주)강성종합건축사사무소,(주)강성종합건축사사무소,부석종합건설(주)
