연번,위치,규모(제곱미터),주용도,착공일,공사 종료일,데이터 기준일자
1,서울특별시 금천구 독산동 292-6,42373,공동주택,2022-06-03,2025-07-01,2022-11-22
2,서울특별시 금천구 가산동 345-48,36518.35,방송통신시설,2022-06-14,2025-03-29,2022-11-22
3,서울특별시 금천구 가산동 343-7,15415.43,공장,2022-10-12,,2022-11-22
4,서울특별시 금천구 가산동 547-78 외2,2511.08,업무시설,2022-04-20,2023-04-30,2022-11-22
5,서울특별시 금천구 가산동 234-18,822.71,제2종근린생활시설,2022-06-21,2023-05-11,2022-11-22
6,서울특별시 금천구 가산동 235-49,5272.84,업무시설,2022-07-06,2023-12-09,2022-11-22
7, 서울특별시 금천구 가산동 237-13 외1필지,673.44,공동주택,2022-06-30,2022-10-28,2022-11-22
8,서울특별시 금천구 가산동 238-50 외1,2288.49,업무시설,2022-04-21,2023-08-30,2022-11-22
9,서울특별시 금천구 가산동 237-96,948.55,공동주택,2022-04-08,2022-10-30,2022-11-22
10,서울특별시 금천구 가산동 60-23,16515.38,업무시설,2022-03-30,2224-08-31,2022-11-22
11,서울특별시 금천구 가산동 459-6,30515,공장,2022-03-10,2024-02-29,2022-11-22
12,서울특별시 금천구 가산동 237-37,1088.2,공동주택,2022-01-27,2022-08-20,2022-11-22
13,서울특별시 금천구 가산동 219-8,63076.38,공장,2021-12-20,2024-06-30,2022-11-22
14,서울특별시 금천구 가산동 238-104,4921.76,업무시설,2021-12-28,2023-12-01,2022-11-22
15,서울특별시 금천구 가산동 139-12 외1,3563.13,공동주택,2021-11-16,2023-04-30,2022-11-22
16,서울특별시 금천구 가산동 141-9,2755.35,업무시설,2021-11-16,2023-02-15,2022-11-22
17,서울특별시 금천구 가산동 146-35,420.82,단독주택,2022-09-19,,2022-11-22
18,서울특별시 금천구 가산동 60-9,76595.52,공장,2021-10-26,2024-07-31,2022-11-22
19,서울특별시 금천구 가산동 319-19,41310.37,방송통신시설,2022-09-05,2024-04-01,2022-11-22
20,서울특별시 금천구 가산동 326-4 외1,36497.4,업무시설,2021-08-24,2023-12-19,2022-11-22
