건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
대수선,서울특별시 마포구 서교동 444-6,대,559.2,489.84,1257.74,2022-11-09,,3,1,10.1,1,제1종근린생활시설,일반목욕장,
대수선,서울특별시 마포구 연남동 244-22,대,57.31,27.26,107.16,2022-10-31,,3,1,8.75,1,제2종근린생활시설,,
신축,서울특별시 마포구 합정동 437-25 외1필지,대,282,167.86,594.53,2022-10-25,,6,1,17.5,1,공동주택,도시형생활주택(단지형다세대주택),
신축,서울특별시 마포구 연남동 260-27,대,117.03,70.1,233.68,2022-11-09,,4,0,12,1,제2종근린생활시설,제2종근린생활시설(일반음식점),
대수선,서울특별시 마포구 동교동 147-46,대,115.4,68.63,191.64,2022-10-12,,3,0,8.5,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 연남동 226-44,대,167.38,100.34,317.1,2022-10-19,,4,0,14.1,1,제1종근린생활시설,소매점,
신축,서울특별시 마포구 상암동 2-136,대,98.79,49.39,237.26,2022-10-28,,5,0,15.93,1,제2종근린생활시설,,
증축,서울특별시 마포구 연남동 223-24,대,114.25,67.5,252.43,2022-09-26,,3,1,11,1,제2종근린생활시설,일반음식점사무소,
신축,서울특별시 마포구 망원동 385-10 외1필지,대,247.51,148.45,479.44,2022-11-10,,5,0,14,1,공동주택,다세대주택,
대수선,서울특별시 마포구 상수동 312-3,대,267.64,160.48,532.84,2022-09-14,,5,,13.7,1,제1종근린생활시설,제2종근린생활시설,
신축,서울특별시 마포구 성산동 142-15,대,240,114.4,133.64,2022-09-23,,2,0,5.4,1,제2종근린생활시설,수리점,
신축,서울특별시 마포구 연남동 224-11,대,118.14,70.83,235.65,2022-10-25,,4,0,14.1,1,제1종근린생활시설,휴게음식점 미용실 등,
증축,서울특별시 마포구 연남동 224-27,대,134.2,79.93,267.86,2022-10-25,,4,,12.1,1,제2종근린생활시설,일반음식점 사무소,
신축,서울특별시 마포구 합정동 434-42,대,153.3,90.18,306.44,2022-09-26,,5,0,14.25,1,공동주택,다세대주택 및 제1종근린생활시설,
대수선,서울특별시 마포구 합정동 376-19,대,135.9,64.32,347.46,2022-09-07,,5,1,14.9,1,제1종근린생활시설,,
신축,서울특별시 마포구 성산동 591-3,대,1004.5,528.25,5771.64,2022-10-24,,11,2,61,1,제1종근린생활시설,근린생활시설/운동시설,
증축,서울특별시 마포구 공덕동 271,대,96,57.4,236.81,2022-09-22,,4,1,12.6,1,제2종근린생활시설,일반음식점,
증축,서울특별시 마포구 연남동 384-2,대,97.78,57.27,228.27,2022-10-20,,4,1,12.6,1,제2종근린생활시설,제2종근린생활시설(일반음식점)제1종근린생활시설(소매점),
증축,서울특별시 마포구 연남동 228-5,대,140.8,84.45,365.69,2022-08-30,,5,1,15.55,1,제2종근린생활시설,일반음식점 사무소,
신축,서울특별시 마포구 서교동 332-11,대,155.4,93.11,309.5,2022-10-04,,4,0,11.97,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 333-46,대,184.7,109.78,368.53,2022-10-27,,5,0,12.5,1,제1종근린생활시설,휴게음식점 및 제2종근린생활시설 사무소,
증축,서울특별시 마포구 서교동 476-20,대,232.4,139,613.71,2022-08-31,,5,,22,1,제1종근린생활시설,,
신축,서울특별시 마포구 연남동 365-15,대,125.4,75.12,249.61,2022-09-22,,5,0,14.53,0,제2종근린생활시설,사무소,
대수선,서울특별시 마포구 망원동 380-19,대,137.5,71.28,225.36,2022-09-27,,3,1,9,1,제1종근린생활시설,제2종근린생활시설,
대수선,서울특별시 마포구 용강동 511,대,2171.9,971.76,3871.3,2022-08-18,,4,1,15.6,1,업무시설,업무시설노유자시설,
신축,서울특별시 마포구 신수동 93-10,대,166.2,92.66,331.83,2022-08-05,,5,0,17.79,1,제1종근린생활시설,,
신축,서울특별시 마포구 성산동 624-3,대,317,190.02,633.67,2022-09-30,,5,0,16.7,1,공동주택,다세대주택 및 제1종근린생활시설,
신축,서울특별시 마포구 연남동 245-27 외1필지,대,127.4,76.12,317.81,2022-09-30,,5,1,17.9,1,제2종근린생활시설,사무소,
대수선,서울특별시 마포구 연남동 366-13,대,102.02,60.31,183,2022-08-02,,2,1,0,1,단독주택,제2종근린생할시설,
신축,서울특별시 마포구 동교동 201-43,대,160.77,80.36,435.11,2022-08-29,,5,1,14.53,1,제2종근린생활시설,,
신축,서울특별시 마포구 망원동 469-14,대,167.6,100.44,334.1,2022-10-06,,5,0,16.7,1,제2종근린생활시설,사무실,
신축,서울특별시 마포구 합정동 371-19,대,160,95.78,318.53,2022-09-02,,5,0,16.4,1,단독주택,다중주택,
신축,서울특별시 마포구 서교동 483-27,대,230.7,127.56,460.78,2022-11-10,,5,0,16.96,1,제2종근린생활시설,일반음식점사무소,
신축,서울특별시 마포구 연남동 570-41 외3필지,대,666.5,354.64,1880.56,2022-09-23,,5,1,17.4,1,제2종근린생활시설,소매점휴게음식점사무소,
