건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도
신축,서울특별시 서대문구 홍은동 396-1,대,239.30 ,119.15 ,687.96 ,2022-11-07,6,1,공동주택,도시형생활주택(단지형다세대)
신축,서울특별시 서대문구 창천동 62-5,대,236.70 ,137.50 ,938.90 ,2022-11-01,8,1,제2종근린생활시설,
신축,서울특별시 서대문구 홍제동 330-33 외1필지,대,251.80 ,147.66 ,1187.74 ,2022-10-25,10,1,업무시설,"사무소 및 근린생활시설, 다세대주택"
신축,서울특별시 서대문구 연희동 188-1,대,317.70 ,210.37 ,1004.45 ,2022-10-19,7,1,제2종근린생활시설,사무소
신축,서울특별시 서대문구 창천동 504-12,대,216.78 ,119.56 ,433.49 ,2022-10-18,5,0,제2종근린생활시설,단독주택
신축,서울특별시 서대문구 대현동 90-47 외2필지,대,286.00 ,179.01 ,1853.97 ,2022-10-04,10,1,업무시설,근생및업무시설(오피스텔(주거용)-56호)
신축,서울특별시 서대문구 북아현동 1-394,대,411.10 ,230.69 ,657.05 ,2022-10-04,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 376-14,대,185.00 ,110.83 ,352.13 ,2022-09-29,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 376-14,대,185.00 ,110.83 ,352.13 ,2022-09-29,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 대신동 139-5,대,319.70 ,173.80 ,639.02 ,2022-09-23,6,0,공동주택,도시형생활주택-단지형다세대
신축,서울특별시 서대문구 남가좌동 343-31,대,118.70 ,70.75 ,196.92 ,2022-09-08,4,0,단독주택,다가구주택
신축,서울특별시 서대문구 남가좌동 293-21,대,332.43 ,199.16 ,1310.62 ,2022-09-02,7,1,제1종근린생활시설,소매점
신축,서울특별시 서대문구 홍은동 407-25,대,156.68 ,90.65 ,343.68 ,2022-08-10,5,0,공동주택,공동체주택[도시형생활주택(다세대)-소형주택]
신축,서울특별시 서대문구 연희동 717-7,대,115.10 ,69.01 ,289.50 ,2022-07-11,4,1,제2종근린생활시설,일반음식점/사무소
