구분1,구분2,대지위치,연면적(제곱미터),증축연면적(제곱미터),허가신고일,착공처리일,최대지상층수,최대지하층수,주용도,부속용도,세대수,호수,가구수,감리자 전화번호,감리사무소명,시공자 전화번호,시공자사무소명
허가,대수선,서울특별시 성동구 성수동2가 331-15 외2필지,999.49,,2020-06-17,2020-06-24,2,,공장,제조업소,,,,02-2299-4836,(주)아크건축사사무소,02-525-6505,(주)아리수엔지니어링
허가,신축,서울특별시 성동구 성수동2가 315-47,169.67,,2020-05-27,2020-06-10,3,0,제1종근린생활시설,휴게음식점,,,,,종합건축사사무소 일오삼,,design 다름
허가,대수선,서울특별시 성동구 성수동2가 275-52,719.1,,2020-05-20,2020-06-03,4,1,제1종근린생활시설,,,,,031-703-9574,(주)세익아키텍츠건축사사무소,031-860-6500,(주)에스엠디자인
허가,신축,서울특별시 성동구 송정동 66-91,351.11,,2020-05-20,2020-06-01,5,0,공동주택,다세대주택,10,1,,02-6085-3977,건축사사무소 신영,02-455-4244,에이엘엘종합건설
허가,신축,서울특별시 성동구 금호동4가 639-1,120.26,,2020-04-20,2020-05-18,2,0,단독주택,"단독주택,근린생활시설",,,1,02-925-4500,건축사사무소 엔담,,
허가,신축,서울특별시 성동구 홍익동 289-1,550.23,,2020-04-16,2020-06-08,6,1,공동주택,도시형생활주택(단지형다세대),13,,,02-956-6951,건축사사무소 안옥,031-563-0911,(주)에이원종합건설
허가,증축,서울특별시 성동구 마장동 773-5,774,,2020-04-13,2020-06-03,3,1,제2종근린생활시설,금융업소,,,,070-8118-7488,에이티씨종합건축사사무소,042-522-7471,대선종합건설(주)
허가,신축,서울특별시 성동구 도선동 168,301.53,,2020-04-01,2020-04-14,4,0,단독주택,제1종근린생활시설,,12,,,건축사사무소 예도,070-7793-3966,주식회사 새재종합건설
허가,신축,서울특별시 성동구 금호동1가 511 외1필지,199.89,,2020-03-20,2020-05-19,3,0,제2종근린생활시설,일반음식점,,,,02-6217-1718,건축사사무소한아키텍트,,
허가,증축,서울특별시 성동구 성수동1가 8-28,173.1,66.37,2020-03-13,2020-05-26,5,1,제1종근린생활시설,소매점,,,,02-569-2711,(주)팀반파트너스건축사사무소,02-323-0482,(주)엔에스종합건설
허가,신축,서울특별시 성동구 성수동2가 315-71,7130.13,,2020-02-27,2020-05-07,9,2,업무시설,,,,,02-3429-6300,(주)한미글로벌건축사사무소,031-243-2351,한동건설(주)
허가,신축,서울특별시 성동구 행당동 297-6,373.12,,2020-02-25,2020-06-18,6,1,공동주택,도시형생활주택(단지형다세대),10,,,02-458-4181,(주)예향도인종합건축사사무,,썬종합건설 주식회사
허가,신축,서울특별시 성동구 성수동1가 10-4,1119.93,,2020-02-21,2020-03-11,5,1,제2종근린생활시설,"사무소,학원,소매점",,,,02-514-5915,(주)다우리터건축사사무소,02-796-9357,(주)다우이엔씨건설
허가,신축,서울특별시 성동구 송정동 100-22,90.43,,2020-02-17,2020-04-02,3,0,단독주택,"다가구주택),제2종근린생활시설(사무소)",,,2,,(주)지디지엔지니어링건축사사무소,02-979-1977,두원종합건설(주)
허가,신축,서울특별시 성동구 도선동 256-5 외4필지,4834.79,,2020-01-31,2020-04-03,16,2,업무시설,"오피스텔, 근린생활시설",,112,,02-3443-3030,도원 건축사사무소,031-292-5548,(주)한울종합건설
허가,신축,서울특별시 성동구 옥수동 265-1 외1필지,2524.53,,2020-01-13,2020-03-31,6,2,제2종근린생활시설,근린생활시설및단독주택,,,1,02-3443-4050,(주)국전건축사사무소,02-562-3876,비츠로건설(주)
허가,신축,서울특별시 성동구 성수동2가 289-290 외1필지,3730.6,,2019-12-23,2020-06-05,10,1,업무시설,오피스텔,,114,,02-408-4616,CmJ건축사사무소,02-3401-7930,(주)주성종합건설
허가,신축,서울특별시 성동구 성수동2가 277-47,19071.56,,2019-12-13,2020-03-20,10,4,업무시설,,,,,070-7609-4080,㈜토펙엔지니어링건축사사무소,02-3438-9428,요진건설산업(주)
허가,신축,서울특별시 성동구 도선동 285-1 외2필지,3864.04,,2019-12-10,2020-02-14,14,2,업무시설,"오피스텔(96호), 제2종근린생활시설",,96,,033-256-2994,(주)산이앤씨건축사사무소,061-472-6255,(주)중해건설
허가,신축,서울특별시 성동구 성수동1가 685-507,265.18,,2019-12-03,2020-06-18,4,1,제2종근린생활시설,"일반음식점, 사무소",,,,02-512-2945,(주)건축사사무소바이페이퍼스케이프,031-281-9627,(주)디와이종합건설
허가,신축,서울특별시 성동구 성수동2가 299-140 외5필지,3180.56,,2019-11-27,2020-04-23,12,1,업무시설,,,77,,02-761-7181,건축사사무소 가예,02-2601-2080,(주)세하종합건설
허가,증축,서울특별시 성동구 송정동 73-36 외115필지,43780.8,2901.15,2019-11-26,2019-12-27,1,2,자원순환관련시설,하수등 처리시설,,,,02-558-1001,(주)천일,02-566-0191,엘림토건(주)
