연번,공사분류,구분,대지위치,허가일자,착공일자,준공예정일자,규모(지하층),규모(지상층),규모(연면적 제곱미터),용도,데이터기준일자
1,대형, 여의도동 31(여의도동 31 복합시설 신축공사),서울특별시 영등포구 여의도동 31,2018-12-17,2019-07-19,2023-04-30,지하6층,지상49층,246299,공동주택(1303세대),2022-11-02
2,대형, 신길동 3608일대(신길동 역세권 청년주택 신축공사),서울특별시 영등포구 신길동 3608,2020-11-05,2021-09-01,2024-07-31,지하5층,지상23층,55168,공동주택(576세대),2022-11-02
3,대형, 당산동2가 45-5(당산동역세권청년주택신축공사),서울특별시 영등포구 당산동2가 45-5,2018-09-06,2020-04-24,2022-12-31,지하6층,지상19층,52545,공동주택(아파트)496세대 판매시설,2022-11-02
4,대형,영등포동2가 439일대(가로주택정비사업),서울특별시 영등포구영등포동2가 439일대(가로주택정비사업),2019-11-01,2021-05-31,2024-06-14,지하4층,지상29층,24578,공동주택(156세대)+근린생활시설,2022-11-02
5,대형, 대림동 990-80,서울특별시 영등포구 대림동 990-80,2019-12-16,2020-03-04,2022-10-31,지하2층,지상20층,25151,공동주택(아파트),2022-11-02
6,중형, 당산동 121-103(나라키움 영등포복합청사),서울특별시 영등포구 당산동 121-103,2020-06-01,2021-03-02,2022-10-25,지하2층,지상13층,5986,"업무시설(근린생활시설, 공동주택)",2022-11-02
7,대형, 당산동1가 12-1 외1필지,서울특별시 영등포구 당산동1가 12-1 외1필지,2019-12-20,2020-04-29,2022-08-10,지하4층,지상15층,99998,지식산업센터,2022-11-02
8,대형, 여의도동 25-11,서울특별시 영등포구 여의도동 25-11,2021-03-11,2022-09-20,,지하7층,지상29층,85189,업무시설,2022-11-02
9,대형, 당산동5가 9-9 외2필지,서울특별시 영등포구 당산동5가 9-9 외2필지,2021-10-18,2022-10-05,,지하5층,지상35층,83955,공장,2022-11-02
10,대형, 신길동 255-9 외16필지,서울특별시 영등포구 신길동 255-9 외16필지,2021-06-18,2021-10-19,2024-06-28,지하5층,지상24층,70507,공동주택,2022-11-02
11,대형, 영등포동6가 145 외2필지,서울특별시 영등포구 영등포동6가 145 외2필지,2020-07-09,2021-03-09,2023-06-30,지하4층,지상11층,38870,(지식산업센터),2022-11-02
12,대형, 문래동6가 33,서울특별시 영등포구 문래동6가 33,2020-11-24,2021-03-18,2023-07-09,지하4층,지상14층,34190,지식산업센터+지원시설,2022-11-02
13,대형, 양평동4가 1-6 외1필지,서울특별시 영등포구 양평동4가 1-6 외1필지,2021-12-10,2022-04-04,2024-01-30,지하3층,지상9층,27227,자동차관련시설,2022-11-02
14,대형, 당산동6가 331-1 외1필지,서울특별시 영등포구 당산동6가 331-1 외1필지,2021-06-28,2022-08-15,2025-06-15,지하7층,지상25층,27105,공동주택,2022-11-02
15,대형, 양평동3가 77-80,서울특별시 영등포구 양평동3가 77-80,2021-09-09,2021-12-22,2024-06-30,지하4층,지상10층,26411,방송통신시설,2022-11-02
16,대형, 여의도동 44-5,서울특별시 영등포구 여의도동 44-5,2019-05-02,2020-04-28,2023-02-14,지하6층,지상17층,26377,업무시설,2022-11-02
17,대형, 당산동5가 9-13,서울특별시 영등포구 당산동5가 9-13,2022-06-17,2022-10-27,,지하6층,지상18층,24384,공장,2022-11-02
18,대형, 양평동2가 43-3 외1필지,서울특별시 영등포구 양평동2가 43-3 외1필지,2021-12-31,2022-06-20,2024-10-30,지하4층,지상15층,22450,공장,2022-11-02
19,대형, 여의도동 10-3,서울특별시 영등포구 여의도동 10-3,2020-10-14,2020-11-11,2023-01-20,지하5층,지상16층,17839,오피스텔,2022-11-02
20,대형, 양평동1가 218,서울특별시 영등포구 양평동1가 218,2021-11-08,2022-08-01,2024-09-15,지하4층,지상11층,17334,공장,2022-11-02
21,대형, 양평동2가 40-9 외1필지,서울특별시 영등포구 양평동2가 40-9 외1필지,2021-11-10,2022-03-08,2024-04-15,지하5층,지상15층,17195,공장,2022-11-02
22,대형, 여의도동 15-11,서울특별시 영등포구 여의도동 15-11,2021-09-02,2022-08-30,2025-01-30,지하6층,지상13층,16684,업무시설,2022-11-02
23,대형, 영등포동1가 92-3 외9필지,서울특별시 영등포구 영등포동1가 92-3 외9필지,2019-12-13,2020-02-28,2022-11-30,지하6층,지상20층,16048,공동주택,2022-11-02
24,대형, 신길동 236 외4필지,서울특별시 영등포구 신길동 236 외4필지,2019-11-12,2020-04-29,2022-09-30,지하5층,지상14층,13549,오피스텔,2022-11-02
25,대형, 당산동3가 552-2,서울특별시 영등포구 당산동3가 552-2,2021-08-02,2021-11-18,2024-02-28,지하4층,지상14층,13307,공장,2022-11-02
26,대형, 영등포동4가 55 외1필지,서울특별시 영등포구 영등포동4가 55 외1필지,2021-04-09,2021-06-07,2023-08-27,지하3층,지상13층,13168,업무시설,2022-11-02
27,대형, 영등포동2가 139,서울특별시 영등포구 영등포동2가 139,2019-07-22,2020-02-01,2022-10-31,지하4층,지상20층,12882,공동주택,2022-11-02
28,대형, 대림동 1005-3 외1필지,서울특별시 영등포구 대림동 1005-3 외1필지,2021-02-15,2021-04-22,2022-12-31,지하2층,지상7층,12714,업무시설,2022-11-02
29,대형, 영등포동2가 330 외6필지,서울특별시 영등포구 영등포동2가 330 외6필지,2020-10-06,2021-08-24,2023-12-31,지하4층,지상17층,11651,업무시설,2022-11-02
30,대형, 양평동1가 104-1,서울특별시 영등포구 양평동1가 104-1,2020-11-12,2021-03-09,2023-03-07,지하3층,지상10층,11202,근린생활시설+업무시설,2022-11-02
31,중형, 당산동6가 341-1 외5필지,서울특별시 영등포구 당산동6가 341-1 외5필지,2020-08-04,2021-10-06,2023-08-31,지하5층,지상12층,9847,업무시설,2022-11-02
32,중형, 당산동2가 12-1,서울특별시 영등포구 당산동2가 12-1,2020-02-20,2020-11-25,2022-12-30,지하2층,지상16층,9272,오피스텔,2022-11-02
33,중형, 양평동1가 118,서울특별시 영등포구 양평동1가 118,2022-07-25,2022-10-05,,지하4층,지상10층,8772,공장,2022-11-02
34,중형, 여의도동 17-4,서울특별시 영등포구 여의도동 17-4,2017-07-17,2021-05-11,2023-03-30,지하4층,지상14층,8436,업무시설,2022-11-02
35,중형, 영등포동3가 1-6 외1필지,서울특별시 영등포구 영등포동3가 1-6 외1필지,2020-03-03,2021-02-22,2023-08-30,지하2층,지상19층,6962,오피스텔 및 다세대주택  근린생활시설,2022-11-02
36,중형, 신길동 173-6 외1필지,서울특별시 영등포구 신길동 173-6 외1필지,2020-09-10,2021-02-17,2023-03-30,지하1층,지상15층,6662,청년주택,2022-11-02
37,중형, 영등포동3가 1-1 외3필지,서울특별시 영등포구 영등포동3가 1-1 외3필지,2022-03-24,2022-08-30,,지하2층,지상20층,5384,업무시설,2022-11-02
38,중형, 신길동 65-80,서울특별시 영등포구 신길동 65-80,2020-07-13,2021-11-30,2023-06-30,지하1층,지상15층,5253,업무시설,2022-11-02
39,중형, 영등포동3가 23 외1필지,서울특별시 영등포구 영등포동3가 23 외1필지,2020-10-22,2021-11-08,2023-03-15,지하2층,지상13층,5063,숙박시설,2022-11-02
40,중형, 도림동 229-2 외4필지,서울특별시 영등포구 도림동 229-2 외4필지,2022-05-17,2022-10-26,,지하1층,지상12층,4821,업무시설,2022-11-02
41,중형, 당산동5가 33-6,서울특별시 영등포구 당산동5가 33-6,2020-08-13,2022-05-27,2024-03-15,지하3층,지상12층,4661,업무시설,2022-11-02
42,중형, 영등포동3가 16-1 외1필지,서울특별시 영등포구 영등포동3가 16-1 외1필지,2021-02-18,2021-11-01,2022-12-31,지하2층,지상13층,4595,업무시설,2022-11-02
43,중형, 양평동3가 78-20,서울특별시 영등포구 양평동3가 78-20,2021-04-19,2022-02-09,2023-10-15,지하2층,지상16층,4007,업무시설,2022-11-02
44,중형, 당산동6가 280-1 외1필지,서울특별시 영등포구 당산동6가 280-1 외1필지,2021-05-21,2021-09-03,2022-10-31,지하1층,지상10층,3892,업무시설,2022-11-02
45,중형, 도림동 196-1 외1필지,서울특별시 영등포구 도림동 196-1 외1필지,2019-12-19,2021-03-09,2022-08-30,지하1층,지상9층,3776,오피스텔,2022-11-02
46,중형, 영등포동8가 65-1,서울특별시 영등포구 영등포동8가 65-1,2022-03-14,2022-08-02,,지하1층,지상15층,3357,업무시설,2022-11-02
47,중형, 영등포동3가 16-3,서울특별시 영등포구 영등포동3가 16-3,2021-07-19,2022-04-19,2023-03-31,지하2층,지상13층,3208,업무시설,2022-11-02
48,중형, 당산동1가 12,서울특별시 영등포구 당산동1가 12,2019-12-20,2020-04-29,2022-08-10,지하3층,지상7층,3069,노유자시설,2022-11-02
49,중형, 영등포동8가 4 외5필지,서울특별시 영등포구 영등포동8가 4 외5필지,2021-12-17,2022-05-25,2023-06-30,지하1층,지상12층,2923,업무시설,2022-11-02
50,중형, 신길동 116-17,서울특별시 영등포구 신길동 116-17,2021-10-01,2021-10-22,2022-09-30,지하1층,지상13층,2758,업무시설,2022-11-02
51,중형, 양평동4가 195-1 외7필지,서울특별시 영등포구 양평동4가 195-1 외7필지,2021-09-02,2022-02-22,2022-12-30,지하2층,지상11층,2711,업무시설,2022-11-02
52,중형, 영등포동8가 59-2,서울특별시 영등포구 영등포동8가 59-2,2021-11-30,2022-05-03,2023-06-30,지하2층,지상14층,2500,업무시설,2022-11-02
53,중형, 영등포동2가 94-106,서울특별시 영등포구 영등포동2가 94-106,2022-03-03,2022-06-08,2023-05-30,지하2층,지상7층,2397,제2종근린생활시설,2022-11-02
54,중형, 양평동1가 182,서울특별시 영등포구 양평동1가 182,2021-12-31,2022-03-04,2023-02-15,지하1층,지상15층,2393,공장,2022-11-02
55,중형, 신길동 3741-11,서울특별시 영등포구 신길동 3741-11,2021-07-07,2022-06-13,2024-07-15,지하1층,지상5층,2333,업무시설,2022-11-02
56,중형, 대림동 783-6 외2필지,서울특별시 영등포구 대림동 783-6 외2필지,2021-10-27,2022-05-04,2023-04-30,지하1층,지상7층,2326,공동주택,2022-11-02
57,중형, 영등포동2가 94-204,서울특별시 영등포구 영등포동2가 94-204,2021-06-28,2021-09-16,2022-12-31,지하2층,지상12층,2305,업무시설,2022-11-02
58,중형, 양평동6가 75-13,서울특별시 영등포구 양평동6가 75-13,2022-03-04,2022-05-17,2022-12-31,지하0층,지상5층,2185,공동주택,2022-11-02
59,중형, 영등포동1가 94-1,서울특별시 영등포구 영등포동1가 94-1,2021-08-11,2022-06-28,2023-07-18,지하1층,지상11층,2177,업무시설,2022-11-02
60,중형, 양평동1가 13-8 외1필지,서울특별시 영등포구 양평동1가 13-8 외1필지,2022-02-08,2022-05-17,2023-08-30,지하2층,지상8층,2147,제2종근린생활시설,2022-11-02
61,중형, 양평동1가 250-10,서울특별시 영등포구 양평동1가 250-10,2022-01-04,2022-08-03,,지하1층,지상4층,2063,종교시설,2022-11-02
62,중형, 양평동6가 75-1,서울특별시 영등포구 양평동6가 75-1,2022-02-03,2022-05-17,2023-01-15,지하0층,지상5층,2042,공동주택,2022-11-02
63,중형, 영등포동3가 26 외2필지,서울특별시 영등포구 영등포동3가 26 외2필지,2022-05-23,2022-11-01,,지하2층,지상12층,2033,업무시설,2022-11-02
64,중형, 양평동6가 75-12,서울특별시 영등포구 양평동6가 75-12,2022-02-08,2022-05-18,2023-01-30,지하0층,지상5층,2030,공동주택,2022-11-02
65,소형, 당산동6가 237-34,서울특별시 영등포구 당산동6가 237-34,2022-03-07,2022-10-17,,지하1층,지상9층,1996,업무시설,2022-11-02
66,소형, 영등포동7가 94-70,서울특별시 영등포구 영등포동7가 94-70,2021-08-02,2021-11-01,2022-09-30,지하1층,지상6층,1917,공동주택,2022-11-02
67,소형, 영등포동2가 28-132,서울특별시 영등포구 영등포동2가 28-132,2021-01-26,2022-05-18,2023-08-30,지하1층,지상10층,1903,업무시설,2022-11-02
68,소형, 신길동 4834 외1필지,서울특별시 영등포구 신길동 4834 외1필지,2021-09-15,2021-12-29,2022-12-31,지하2층,지상12층,1834,업무시설,2022-11-02
69,소형, 당산동2가 32-1 외1필지,서울특별시 영등포구 당산동2가 32-1 외1필지,2021-09-02,2022-02-04,2023-01-15,지하2층,지상11층,1742,업무시설,2022-11-02
70,소형, 신길동 4336,서울특별시 영등포구 신길동 4336,2022-03-14,2022-07-12,2023-05-30,지하1층,지상9층,1731,업무시설,2022-11-02
71,소형, 도림동 229-33 외2필지,서울특별시 영등포구 도림동 229-33 외2필지,2022-02-25,2022-10-27,,지하1층,지상10층,1725,공동주택,2022-11-02
72,소형, 당산동3가 1-7 외1필지,서울특별시 영등포구 당산동3가 1-7 외1필지,2021-12-07,2022-06-02,2023-05-30,지하1층,지상10층,1714,업무시설,2022-11-02
73,소형, 문래동1가 22-12 외3필지,서울특별시 영등포구 문래동1가 22-12 외3필지,2021-10-12,2022-02-08,2023-08-31,지하1층,지상11층,1573,업무시설,2022-11-02
74,소형, 양평동4가 3-3,서울특별시 영등포구 양평동4가 3-3,2020-10-07,2021-06-10,2022-09-30,지하2층,지상11층,1533,업무시설,2022-11-02
75,소형, 영등포동2가 328-1 외1필지,서울특별시 영등포구 영등포동2가 328-1 외1필지,2020-09-25,2020-11-05,2022-08-30,지하1층,지상8층,1519,오피스텔,2022-11-02
76,소형, 당산동6가 312 외4필지,서울특별시 영등포구 당산동6가 312 외4필지,2015-12-21,2022-03-11,2023-07-30,지하2층,지상10층,1517,업무시설,2022-11-02
77,소형, 당산동1가 185-9,서울특별시 영등포구 당산동1가 185-9,2022-01-13,2022-05-20,2023-01-30,지하1층,지상10층,1366,업무시설,2022-11-02
78,소형, 영등포동6가 127-11,서울특별시 영등포구 영등포동6가 127-11,2021-11-01,2022-02-14,2022-12-31,지하1층,지상10층,1333,업무시설,2022-11-02
79,소형, 당산동1가 58-1 외3필지,서울특별시 영등포구 당산동1가 58-1 외3필지,2022-02-25,2022-09-28,,지하1층,지상9층,1299,제2종근린생활시설,2022-11-02
80,소형, 당산동1가 256-76 외4필지,서울특별시 영등포구 당산동1가 256-76 외4필지,2021-10-18,2021-12-20,2022-10-30,지하1층,지상9층,1285,공동주택,2022-11-02
81,소형, 도림동 232-13 외2필지,서울특별시 영등포구 도림동 232-13 외2필지,2020-04-09,2020-07-23,미정,지하1층,지상6층,1248,다세대주택,2022-11-02
82,소형, 당산동1가 14-6,서울특별시 영등포구 당산동1가 14-6,2020-09-11,2020-12-07,2022-07-30,지하1층,지상9층,1247,오피스텔,2022-11-02
83,소형, 당산동6가 347-5,서울특별시 영등포구 당산동6가 347-5,2021-02-18,2022-10-21,,지하1층,지상9층,1242,업무시설,2022-11-02
84,소형, 양평동5가 71-3 외1필지,서울특별시 영등포구 양평동5가 71-3 외1필지,2019-10-31,2021-06-30,2023-01-30,지하2층,지상9층,1211,업무시설,2022-11-02
85,소형, 당산동1가 412 외3필지,서울특별시 영등포구 당산동1가 412 외3필지,2021-07-16,2021-10-07,2023-05-31,지하1층,지상8층,1197,공동주택,2022-11-02
86,소형, 양평동4가 266-1,서울특별시 영등포구 양평동4가 266-1,2022-07-11,2022-09-08,,지하1층,지상6층,1075,공동주택,2022-11-02
