건축구분,허가번호,대지위치,대지면적,건축면적,연면적,단위,착공처리일,주용도,데이터기준일
대수선,2022-건축과-대수선허가-37,서울특별시 용산구 이태원동 128-13 외1필지,638.9,369.38,"1,998.39",㎡,2022-10-20,업무시설,2022-11-18
신축,2022-건축과-신축허가-100,서울특별시 용산구 후암동 448-94,111.25,66.24,218.16,㎡,2022-11-08,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-31,서울특별시 용산구 한강로1가 221-2,108.64,65.02,191.74,㎡,2022-11-16,제2종근린생활시설,2022-11-18
증축,2022-건축과-증축허가-8,서울특별시 용산구 한남동 657-144,242,119.77,658.54,㎡,2022-10-21,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-29,서울특별시 용산구 이태원동 251-39,105.29,61.6,262.64,㎡,2022-09-19,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-88,서울특별시 용산구 청파동3가 118-407 외1필지,220.15,131.82,432.8,㎡,2022-11-03,공동주택,2022-11-18
대수선,2022-건축과-대수선허가-26,서울특별시 용산구 이태원동 210-12,148.63,88.69,361.51,㎡,2022-09-20,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-27,서울특별시 용산구 한강로3가 40-969 외3필지,"14,797.7","8,811.4","185,482.49",㎡,2022-10-31,숙박시설,2022-11-18
증축,2022-건축과-증축허가-7,서울특별시 용산구 이태원동 225-12,135,58.57,238.18,㎡,2022-08-18,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-25,서울특별시 용산구 남영동 58-4 외1필지,99.2,67.11,134.55,㎡,2022-11-17,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-81,서울특별시 용산구 청파동3가 27-9,109.51,48.04,169.32,㎡,2022-09-01,공동주택,2022-11-18
신축,2022-건축과-신축허가-78,서울특별시 용산구 이태원동 74-62,205,107.33,536.55,㎡,2022-10-26,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-76,서울특별시 용산구 청파동3가 132-38 외2필지,251.28,150.14,499.21,㎡,2022-07-11,공동주택,2022-11-18
신축,2022-건축과-신축허가-75,서울특별시 용산구 이태원동 128-2,243,145.6,599.17,㎡,2022-09-20,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-71,서울특별시 용산구 청파동3가 118-207,140.11,76.38,205.21,㎡,2022-09-01,공동주택,2022-11-18
신축,2022-건축과-신축허가-69,서울특별시 용산구 후암동 389-32,136.6,81.62,239.99,㎡,2022-11-08,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-23,서울특별시 용산구 이태원동 258-261,178.06,89,243.02,㎡,2022-07-12,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-58,서울특별시 용산구 후암동 249-7 외1필지,853.6,486.48,"2,904.27",㎡,2022-10-21,공동주택,2022-11-18
신축,2022-건축과-신축허가-57,서울특별시 용산구 이태원동 258-33,330,131.13,497.55,㎡,2022-11-10,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-21,서울특별시 용산구 이태원동 74-54,175,96.56,228.99,㎡,2022-07-12,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-55,서울특별시 용산구 원효로4가 85-14,392.92,233.34,659.75,㎡,2022-06-20,공동주택,2022-11-18
신축,2022-건축과-신축허가-52,서울특별시 용산구 원효로3가 215-2,94.17,47.95,139.11,㎡,2022-09-02,공동주택,2022-11-18
대수선,2022-건축과-협의건축물-3,서울특별시 용산구 갈월동 98-8,"6,391",687.405,"3,036.54",㎡,2022-06-21,업무시설,2022-11-18
대수선,2022-건축과-대수선허가-19,서울특별시 용산구 한남동 11-269 외1필지,807,237.08,727.81,㎡,2022-10-13,제2종근린생활시설,2022-11-18
증축,2022-건축과-증축허가-5,서울특별시 용산구 한남동 684-95,150,88,458.82,㎡,2022-09-27,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-50,서울특별시 용산구 용산동2가 1-282 외3필지,88.87,43.12,128.78,㎡,2022-07-08,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-18,서울특별시 용산구 남영동 47-1,158.7,45.12,76.99,㎡,2022-07-19,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-16,서울특별시 용산구 이태원동 255-49,160.5,94.78,372.54,㎡,2022-06-13,제2종근린생활시설,2022-11-18
