건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일자
신축,서울특별시 은평구 불광동 369-17,대,286.95,171.98,540.59,2022-08-12,2022-09-19,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 갈현동 492-23,대,266.4,158.44,531.26,2022-08-02,2022-09-22,,5,0,공동주택,,2022-10-07
신축,서울특별시 은평구 대조동 219-23,대,113.08,56.52,195.02,2022-08-01,2022-09-08,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 갈현동 327-17 외1필지,대,826,476.2,"1,651.91",2022-07-28,2022-09-15,,6,0,공동주택,도시형생활주택(단지형연립주택),2022-10-07
신축,서울특별시 은평구 진관동 323-18,대,608,232.5,330.37,2022-07-15,2022-08-29,,2,0,제2종근린생활시설,일반음식점,2022-10-07
신축,서울특별시 은평구 대조동 191-1,대,283,159.81,565.76,2022-07-05,2022-08-25,,6,0,공동주택,다세대주택/단지형다세대 및 2종근린생활시설,2022-10-07
신축,서울특별시 은평구 구산동 210-11 외1필지,대,363.3,216.86,659.12,2022-06-30,2022-07-20,,5,0,공동주택,도시형생활주택-단지형다세대주택,2022-10-07
신축,서울특별시 은평구 구산동 177-26 외1필지,대,331.23,198,764.94,2022-06-30,2022-09-28,,6,1,공동주택,다세대/도시형생활주택/단지형다세대,2022-10-07
신축,서울특별시 은평구 불광동 369-5,대,147.5,85,261.57,2022-06-28,2022-09-02,,4,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 갈현동 476-2 외1필지,대,408.6,244.94,561.17,2022-06-23,2022-09-01,,4,0,공동주택,도시형생활주택 단지형다세대,2022-10-07
신축,서울특별시 은평구 신사동 300-90 외1필지,대,436,251,653.63,2022-06-22,2022-07-27,,5,0,공동주택,다세대주택(12세대),2022-10-07
신축,서울특별시 은평구 수색동 371-1 외2필지,대,387.4,181.2,694.03,2022-06-22,2022-08-16,,6,0,공동주택,다세대주택-도시형생활주택 (단지형다세대),2022-10-07
신축,서울특별시 은평구 응암동 112-14,대,154,89.28,648.09,2022-06-17,2022-07-27,,9,1,공동주택,근린생활시설&amp;업무시설,2022-10-07
신축,서울특별시 은평구 진관동 187-2,대,409,170.55,288.96,2022-06-17,2022-08-31,,1,1,단독주택,,2022-10-07
신축,서울특별시 은평구 구산동 16-62 외1필지,대,364.3,214.88,722.88,2022-06-15,2022-07-28,,6,0,공동주택,"다세대주택(도시형생활주택_단지형다세대(10세대)),제1종근린생활시설(소매점",2022-10-07
신축,서울특별시 은평구 대조동 223-23,대,227.8,136.6,626.43,2022-06-10,2022-07-05,,6,1,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 대조동 216-1 외1필지,대,344.6,205.84,627.87,2022-06-02,2022-06-30,,5,0,공동주택,다세대주택/근생(소매점),2022-10-07
신축,서울특별시 은평구 대조동 216-2 외2필지,대,341,204.52,638.11,2022-06-02,2022-06-30,,5,0,공동주택,다세대주택/근생(소매점),2022-10-07
신축,서울특별시 은평구 녹번동 109-25,대,158.28,87.19,252.715,2022-05-20,2022-07-04,,4,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 진관동 191-5,대,193.1,81.87,146.31,2022-05-19,2022-06-27,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 응암동 376-14 외1필지,대,267.5,160.4,"1,141.80",2022-05-03,2022-07-05,,10,1,공동주택,업무시설&amp;제2종근린생활시설,2022-10-07
신축,서울특별시 은평구 갈현동 395-2,대,561.6,336.55,"5,305.34",2022-05-03,2022-07-25,,20,2,공동주택,"아파트(42세대),오피스텔(22호),제1,2종근린생활시설",2022-10-07
신축,서울특별시 은평구 불광동 170-129,대,251,146.2,375.91,2022-04-26,2022-08-01,,5,0,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 대조동 171-37,대,220.2,131.99,421.88,2022-04-25,2022-06-28,,5,0,공동주택,다세대주택 및 제2종근린생활시설,2022-10-07
신축,서울특별시 은평구 갈현동 436-10,대,193.4,115.79,385.86,2022-04-22,2022-06-23,,6,0,공동주택,도시형생활주택(단지형다세대주택),2022-10-07
신축,서울특별시 은평구 응암동 94-24,대,146.8,87.86,293.51,2022-04-14,2022-05-19,,5,0,단독주택,다가구주택,2022-10-07
신축,서울특별시 은평구 신사동 12-20 외1필지,대,254.4,139.05,508.34,2022-04-14,2022-05-02,,6,0,공동주택,다세대주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 신사동 25-34,대,113.7,58.31,130.62,2022-04-13,2022-06-29,,3,0,단독주택,,2022-10-07
신축,서울특별시 은평구 구산동 177-98 외1필지,대,170,97.13,341.5,2022-04-12,2022-07-29,,5,0,공동주택,도시형생활주택(원룸형),2022-10-07
신축,서울특별시 은평구 구산동 191-11 외1필지,대,176,100.02,538.19,2022-04-12,2022-07-29,,5,1,공동주택,도시형생활주택(원룸형),2022-10-07
신축,서울특별시 은평구 녹번동 132-29,대,145.33,80.04,257.19,2022-04-07,2022-05-25,,5,0,공동주택,다세대주택(도시형생활주택),2022-10-07
신축,서울특별시 은평구 갈현동 472-1,대,240.7,139.57,492.81,2022-04-06,2022-07-08,,6,0,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 진관동 중심상업지구 10-2BL,대,"8,117.40","4,405.24","75,197.48",2022-04-05,2022-08-04,,20,4,업무시설,"관광숙박시설,근린생활시설",2022-10-07
신축,서울특별시 은평구 구산동 17-6 외1필지,대,224.1,133.94,430.17,2022-04-05,2022-06-15,,6,0,공동주택,도시형생활주택(단지형다세대주택 -7세대),2022-10-07
신축,서울특별시 은평구 불광동 90-55 외2필지,대,345.8,192.84,640.57,2022-04-01,2022-06-16,,5,0,공동주택,다세대주택 및1종 근린생활시설,2022-10-07
신축,서울특별시 은평구 진관동 165-2,대,330.5,165.2,261.93,2022-03-31,2022-05-11,,2,0,단독주택,다가구주택,2022-10-07
신축,서울특별시 은평구 응암동 102-5,대,210.76,124.76,420.99,2022-03-31,2022-06-10,,5,0,단독주택,다가구주택,2022-10-07
신축,서울특별시 은평구 응암동 194-8,대,130.33,77.65,174.23,2022-03-24,2022-05-30,,3,0,단독주택,,2022-10-07
신축,서울특별시 은평구 응암동 98-26,대,346.8,155.94,"1,028.88",2022-03-22,2022-05-02,,6,1,제1종근린생활시설,소매점,2022-10-07
신축,서울특별시 은평구 대조동 50-19 외1필지,대,294,176.24,540.1,2022-03-22,2022-05-11,,5,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 역촌동 77-9 외1필지,대,177.7,106.09,362.28,2022-03-21,2022-07-25,,4,0,단독주택,다가구주택,2022-10-07
신축,서울특별시 은평구 갈현동 407-31 외1필지,대,291.3,157.92,579.6,2022-03-16,2022-04-29,,6,0,공동주택,도시형생활주택(다세대),2022-10-07
