시군구,대지위치,연면적(제곱미터),주용도 변환,주용도,착공처리일,준공예정일(사용승인예정일),지번주소,건축면적,위도,경도
강남구,서울특별시 강남구 역삼동 798-16,1887,업무시설,업무시설,2022-11-14,2024-01-31,역삼동 798-16,,37.4925562,127.0404163
강남구,서울특별시 강남구 논현동 62-13 외1필지,10560,근린생활시설,제1종근린생활시설,2022-11-09,2025-02-28,논현동 62-13,,37.5207504,127.0337237
강남구,서울특별시 강남구 삼성동 46-33,735,근린생활시설,제2종근린생활시설,2022-11-08,2023-12-01,삼성동 46-33,,37.5131819,127.0488577
강남구,서울특별시 강남구 대치동 901-30,603,근린생활시설,제2종근린생활시설,2022-11-08,2023-10-31,대치동 901-30,,37.5028858,127.054831
강남구,서울특별시 강남구 신사동 512-6 외1필지,582,근린생활시설,제2종근린생활시설,2022-11-08,2023-09-03,신사동 512-6,,37.5177013,127.020823
강남구,서울특별시 강남구 논현동 182-29,1828,근린생활시설,제2종근린생활시설,2022-11-07,2023-11-30,논현동 182-29,,37.5066789,127.0245309
강남구,서울특별시 강남구 삼성동 90-29,198,근린생활시설,제2종근린생활시설,2022-11-03,2023-02-28,삼성동 90-29,,37.5167226,127.059385
강남구,서울특별시 강남구 논현동 77-29,775,근린생활시설,제2종근린생활시설,2022-11-01,2023-10-06,논현동 77-29,,37.5177419,127.0328473
강남구,서울특별시 강남구 논현동 257-11,758,근린생활시설,제2종근린생활시설,2022-11-01,2023-06-17,논현동 257-11,,37.5122607,127.0390149
강남구,서울특별시 강남구 논현동 257-12,1192,근린생활시설,제2종근린생활시설,2022-11-01,2023-06-17,논현동 257-12,,37.5121405,127.0389791
강남구,서울특별시 강남구 개포동 1179-5,340,주택,공동주택,2022-11-01,2023-04-30,개포동 1179-5,,37.4744033,127.0536749
강남구,서울특별시 강남구 삼성동 143-31,1996,업무시설,업무시설,2022-11-01,2023-11-30,삼성동 143-31,,37.5066847,127.0537075
강남구,서울특별시 강남구 대치동 900-64,467,근린생활시설,제2종근린생활시설,2022-10-31,2023-06-30,대치동 900-64,,37.5026026,127.053785
강남구,서울특별시 강남구 논현동 253-17,1362,근린생활시설,제2종근린생활시설,2022-10-25,2023-09-30,논현동 253-17,,37.5140323,127.0395917
강남구,서울특별시 강남구 삼성동 121-27,679,근린생활시설,제2종근린생활시설,2022-10-25,2023-10-24,삼성동 121-27,,37.5111254,127.0531967
강남구,서울특별시 강남구 역삼동 782 외4필지,9046,주택,공동주택,2022-10-25,2024-11-06,역삼동 782,,37.4939749,127.0412554
강남구,서울특별시 강남구 대치동 899-9,499,근린생활시설,제2종근린생활시설,2022-10-24,2023-04-28,대치동 899-9,,37.5022954,127.0512046
강남구,서울특별시 강남구 역삼동 721-28,433,근린생활시설,제2종근린생활시설,2022-10-21,2023-10-24,역삼동 721-28,,37.4999137,127.0430274
강남구,서울특별시 강남구 삼성동 9-19,869,근린생활시설,제2종근린생활시설,2022-10-21,2023-11-30,삼성동 9-19,,37.5142279,127.0431557
강남구,서울특별시 강남구 대치동 898-5,991,근린생활시설,제2종근린생활시설,2022-10-20,2023-09-15,대치동 898-5,,37.5021118,127.0505668
강남구,서울특별시 강남구 역삼동 826-46,1981,근린생활시설,제2종근린생활시설,2022-10-20,2023-09-30,역삼동 826-46,,37.496169,127.0297793
강남구,서울특별시 강남구 청담동 37-15,1048,근린생활시설,제2종근린생활시설,2022-10-19,2023-05-31,청담동 37-15,,37.5184575,127.0431662
강남구,서울특별시 강남구 논현동 184-3,622,근린생활시설,제2종근린생활시설,2022-10-14,2023-06-30,논현동 184-3,,37.5061024,127.0248857
강남구,서울특별시 강남구 역삼동 725-63,1131,근린생활시설,제2종근린생활시설,2022-10-14,2023-09-30,역삼동 725-63,,37.4988564,127.0393156
강남구,서울특별시 강남구 삼성동 142-14,1969,업무시설,업무시설,2022-10-14,2024-04-30,삼성동 142-14,,37.506276,127.0515139
